Country,Year,Attack_ID,Target Industry,Financial Loss in Million  Doller,  Number of Affected Users  ,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Japan,2023,PH01,IT,35.27 ," 26,036 ",Hacker Group,Weak Passwords,VPN,71
Russia,2015,DD678,Retail,69.61 ," 26,321 ",Nation-state,Zero-day,Encryption,11
India,2018,SI657,Government,18.44 ," 27,344 ",Nation-state,Zero-day,VPN,1
Germany,2017,DD678,Telecommunications,40.05 ," 27,446 ",Insider,Social Engineering,AI-based Detection,13
China,2023,PH01,Government,43.49 ," 27,694 ",Unknown,Weak Passwords,Encryption,30
UK,2019,PH01,IT,78.19 ," 28,321 ",Insider,Unpatched Software,Antivirus,63
India,2015,ML345,Telecommunications,14.09 ," 28,398 ",Insider,Zero-day,Encryption,22
USA,2024,ML345,Telecommunications,0.71 ," 28,436 ",Unknown,Unpatched Software,Encryption,66
USA,2017,SI657,Healthcare,51.26 ," 28,682 ",Hacker Group,Zero-day,VPN,44
UK,2016,PH01,Education,8.42 ," 29,671 ",Insider,Unpatched Software,Encryption,61
China,2017,MIM65,Retail,30.38 ," 29,840 ",Hacker Group,Weak Passwords,AI-based Detection,63
Russia,2022,ML345,Healthcare,81.92 ," 30,180 ",Insider,Weak Passwords,AI-based Detection,53
USA,2022,MIM65,Education,83.61 ," 30,235 ",Insider,Weak Passwords,Encryption,47
India,2023,SI657,Retail,2.85 ," 30,883 ",Nation-state,Weak Passwords,AI-based Detection,51
Brazil,2016,PH01,Retail,27.99 ," 30,884 ",Nation-state,Unpatched Software,Antivirus,26
Brazil,2018,PH01,IT,13.89 ," 30,925 ",Insider,Zero-day,Encryption,43
UK,2017,PH01,Banking,1.54 ," 31,262 ",Unknown,Social Engineering,Firewall,56
India,2018,PH01,Banking,71.58 ," 31,733 ",Hacker Group,Unpatched Software,Encryption,49
India,2024,PH01,Retail,92.48 ," 32,067 ",Insider,Unpatched Software,Antivirus,19
Germany,2022,DD678,Retail,21.45 ," 32,346 ",Nation-state,Unpatched Software,AI-based Detection,38
Germany,2019,ML345,Healthcare,98.45 ," 32,423 ",Hacker Group,Weak Passwords,Antivirus,45
Germany,2020,MIM65,Retail,46.07 ," 32,499 ",Insider,Zero-day,Firewall,14
India,2020,RWS34,Healthcare,10.46 ," 32,616 ",Unknown,Unpatched Software,Firewall,63
Russia,2021,PH01,Telecommunications,73.93 ," 32,743 ",Hacker Group,Zero-day,VPN,18
Germany,2015,DD678,Telecommunications,31.68 ," 33,098 ",Hacker Group,Zero-day,AI-based Detection,8
Japan,2018,SI657,IT,69.19 ," 33,209 ",Insider,Unpatched Software,AI-based Detection,66
China,2021,ML345,Retail,20.52 ," 33,426 ",Unknown,Social Engineering,Antivirus,16
Australia,2020,PH01,Government,92.50 ," 34,011 ",Insider,Unpatched Software,Firewall,9
UK,2015,MIM65,Healthcare,82.54 ," 34,240 ",Insider,Weak Passwords,Encryption,45
USA,2022,RWS34,IT,50.40 ," 34,584 ",Insider,Zero-day,Firewall,43
Australia,2024,DD678,Telecommunications,36.49 ," 35,041 ",Hacker Group,Social Engineering,Antivirus,14
Australia,2017,MIM65,Retail,47.97 ," 36,780 ",Insider,Unpatched Software,AI-based Detection,64
Japan,2016,PH01,Banking,82.93 ," 36,797 ",Insider,Unpatched Software,VPN,2
USA,2019,SI657,Education,78.12 ," 36,804 ",Unknown,Weak Passwords,VPN,30
China,2020,PH01,Retail,17.99 ," 36,963 ",Insider,Zero-day,VPN,54
Brazil,2016,MIM65,IT,75.51 ," 37,230 ",Unknown,Social Engineering,AI-based Detection,52
Japan,2024,ML345,Telecommunications,71.18 ," 37,870 ",Nation-state,Zero-day,AI-based Detection,31
Japan,2020,PH01,Healthcare,73.13 ," 39,276 ",Nation-state,Unpatched Software,Firewall,29
Japan,2022,ML345,Telecommunications,38.46 ," 39,814 ",Insider,Social Engineering,VPN,32
India,2019,PH01,Healthcare,35.60 ," 40,718 ",Nation-state,Zero-day,VPN,24
UK,2022,PH01,Retail,13.37 ," 40,843 ",Unknown,Weak Passwords,Encryption,66
India,2015,RWS34,Banking,81.81 ," 41,635 ",Nation-state,Unpatched Software,Encryption,37
Australia,2017,PH01,Banking,90.50 ," 42,278 ",Insider,Weak Passwords,AI-based Detection,45
Australia,2022,SI657,IT,15.29 ," 42,346 ",Hacker Group,Unpatched Software,VPN,33
China,2018,RWS34,Retail,35.08 ," 42,831 ",Hacker Group,Social Engineering,Antivirus,42
Japan,2018,RWS34,Education,43.32 ," 42,876 ",Unknown,Unpatched Software,Antivirus,40
India,2015,SI657,Banking,95.81 ," 42,883 ",Unknown,Zero-day,Encryption,37
USA,2019,MIM65,Government,17.59 ," 43,140 ",Insider,Social Engineering,AI-based Detection,28
Japan,2015,SI657,Retail,70.88 ," 43,366 ",Unknown,Weak Passwords,AI-based Detection,43
Brazil,2019,PH01,Retail,35.61 ," 43,771 ",Nation-state,Zero-day,Encryption,49
China,2024,RWS34,Government,65.96 ," 44,082 ",Nation-state,Social Engineering,VPN,48
Japan,2017,PH01,Telecommunications,89.85 ," 44,385 ",Hacker Group,Weak Passwords,AI-based Detection,18
China,2016,PH01,IT,17.06 ," 44,473 ",Unknown,Weak Passwords,VPN,67
Japan,2017,SI657,IT,33.15 ," 44,750 ",Unknown,Unpatched Software,Firewall,22
France,2022,PH01,Healthcare,85.91 ," 44,837 ",Unknown,Zero-day,AI-based Detection,18
Australia,2018,DD678,Education,3.30 ," 45,027 ",Unknown,Social Engineering,Antivirus,68
Russia,2017,MIM65,Banking,66.53 ," 45,277 ",Insider,Social Engineering,Firewall,43
Russia,2022,MIM65,IT,34.57 ," 46,493 ",Insider,Unpatched Software,Encryption,62
UK,2016,SI657,Retail,24.51 ," 46,699 ",Unknown,Zero-day,Antivirus,53
Germany,2020,DD678,Banking,76.53 ," 46,824 ",Hacker Group,Social Engineering,VPN,39
USA,2019,RWS34,Healthcare,89.81 ," 46,960 ",Nation-state,Zero-day,AI-based Detection,16
India,2019,RWS34,Telecommunications,90.48 ," 46,972 ",Nation-state,Social Engineering,VPN,23
France,2019,DD678,Education,66.65 ," 47,104 ",Insider,Social Engineering,VPN,5
India,2019,DD678,Government,63.63 ," 47,191 ",Insider,Unpatched Software,VPN,28
Brazil,2016,ML345,Government,72.73 ," 47,624 ",Nation-state,Weak Passwords,Firewall,70
Brazil,2019,RWS34,Banking,10.10 ," 47,737 ",Hacker Group,Social Engineering,Encryption,69
Japan,2024,PH01,IT,91.71 ," 47,841 ",Hacker Group,Weak Passwords,Antivirus,23
UK,2023,DD678,Government,34.80 ," 48,515 ",Hacker Group,Social Engineering,Encryption,50
India,2019,MIM65,Government,98.86 ," 48,647 ",Unknown,Zero-day,Encryption,48
USA,2021,MIM65,Education,36.06 ," 48,987 ",Unknown,Zero-day,VPN,58
Australia,2021,SI657,Banking,92.66 ," 49,085 ",Hacker Group,Weak Passwords,VPN,32
Brazil,2015,ML345,Education,37.54 ," 49,473 ",Insider,Social Engineering,Firewall,51
USA,2023,SI657,IT,19.37 ," 49,480 ",Hacker Group,Social Engineering,Encryption,17
UK,2022,DD678,Education,32.20 ," 49,715 ",Insider,Unpatched Software,Encryption,72
Japan,2022,ML345,Retail,26.70 ," 50,007 ",Nation-state,Weak Passwords,Antivirus,19
Germany,2024,PH01,Government,19.52 ," 50,054 ",Insider,Unpatched Software,Antivirus,24
USA,2016,RWS34,Retail,57.17 ," 50,321 ",Nation-state,Social Engineering,Antivirus,25
France,2020,RWS34,Healthcare,25.49 ," 50,385 ",Unknown,Unpatched Software,Antivirus,10
France,2015,DD678,Banking,85.36 ," 50,427 ",Hacker Group,Zero-day,Encryption,5
France,2020,ML345,Healthcare,76.42 ," 50,468 ",Hacker Group,Social Engineering,AI-based Detection,64
China,2020,ML345,Government,84.23 ," 50,842 ",Insider,Zero-day,AI-based Detection,59
Germany,2023,ML345,Telecommunications,3.86 ," 51,176 ",Unknown,Social Engineering,Encryption,61
USA,2019,RWS34,Banking,22.62 ," 51,219 ",Unknown,Zero-day,Encryption,36
USA,2019,SI657,Telecommunications,57.40 ," 51,312 ",Insider,Social Engineering,AI-based Detection,26
USA,2019,RWS34,Telecommunications,65.70 ," 51,619 ",Insider,Unpatched Software,VPN,3
France,2016,PH01,IT,33.33 ," 51,723 ",Hacker Group,Weak Passwords,Encryption,23
Japan,2019,ML345,IT,33.61 ," 52,191 ",Nation-state,Weak Passwords,Antivirus,72
Brazil,2020,DD678,Telecommunications,4.52 ," 52,302 ",Unknown,Social Engineering,VPN,58
Brazil,2022,SI657,Banking,5.85 ," 52,649 ",Nation-state,Unpatched Software,Encryption,57
Germany,2018,DD678,Banking,81.34 ," 52,799 ",Insider,Zero-day,AI-based Detection,38
Japan,2017,RWS34,Banking,50.75 ," 53,111 ",Hacker Group,Social Engineering,Antivirus,15
UK,2020,SI657,IT,87.48 ," 53,147 ",Nation-state,Social Engineering,Antivirus,9
Japan,2023,PH01,Retail,55.70 ," 53,447 ",Insider,Unpatched Software,AI-based Detection,43
India,2020,ML345,Healthcare,20.62 ," 54,206 ",Insider,Unpatched Software,VPN,51
China,2024,RWS34,Telecommunications,67.47 ," 54,722 ",Nation-state,Social Engineering,Encryption,13
Japan,2015,DD678,Government,82.12 ," 55,055 ",Hacker Group,Unpatched Software,VPN,44
Japan,2022,PH01,Telecommunications,33.54 ," 55,209 ",Nation-state,Unpatched Software,VPN,11
Australia,2020,SI657,Telecommunications,53.32 ," 55,392 ",Unknown,Zero-day,VPN,44
UK,2016,SI657,Government,69.55 ," 55,635 ",Unknown,Weak Passwords,Encryption,13
Germany,2021,RWS34,Education,11.42 ," 55,683 ",Hacker Group,Unpatched Software,AI-based Detection,19
China,2020,SI657,Healthcare,62.44 ," 55,719 ",Unknown,Unpatched Software,Firewall,71
China,2016,SI657,Healthcare,52.68 ," 55,913 ",Nation-state,Social Engineering,Antivirus,70
Russia,2021,PH01,Banking,78.45 ," 56,333 ",Unknown,Social Engineering,VPN,8
Germany,2016,ML345,Telecommunications,77.70 ," 57,200 ",Hacker Group,Social Engineering,VPN,26
Brazil,2017,MIM65,Telecommunications,43.71 ," 57,237 ",Unknown,Unpatched Software,Firewall,52
USA,2015,RWS34,Banking,33.75 ," 58,037 ",Insider,Social Engineering,VPN,13
India,2020,ML345,Healthcare,3.74 ," 58,205 ",Hacker Group,Unpatched Software,Encryption,63
USA,2023,SI657,Government,89.46 ," 59,398 ",Hacker Group,Zero-day,Antivirus,8
India,2015,RWS34,Government,56.30 ," 59,582 ",Nation-state,Unpatched Software,VPN,56
China,2018,ML345,Banking,68.55 ," 59,979 ",Insider,Zero-day,Firewall,41
UK,2019,PH01,Telecommunications,33.85 ," 60,183 ",Nation-state,Unpatched Software,AI-based Detection,17
Japan,2023,MIM65,Education,16.42 ," 60,322 ",Insider,Zero-day,VPN,22
UK,2024,DD678,Government,68.83 ," 60,379 ",Hacker Group,Unpatched Software,Firewall,32
USA,2020,RWS34,Banking,27.45 ," 60,428 ",Nation-state,Weak Passwords,Antivirus,27
France,2021,MIM65,Government,44.03 ," 60,431 ",Hacker Group,Weak Passwords,AI-based Detection,59
Australia,2018,SI657,Education,75.20 ," 60,868 ",Insider,Social Engineering,Antivirus,46
UK,2018,DD678,IT,17.99 ," 60,917 ",Unknown,Zero-day,VPN,1
Germany,2023,ML345,Retail,71.05 ," 61,238 ",Unknown,Unpatched Software,AI-based Detection,41
Germany,2021,SI657,Education,1.62 ," 61,463 ",Hacker Group,Weak Passwords,Antivirus,58
UK,2016,RWS34,Banking,92.39 ," 61,764 ",Hacker Group,Social Engineering,Encryption,38
Germany,2018,MIM65,Healthcare,61.93 ," 62,185 ",Nation-state,Social Engineering,Encryption,32
India,2021,DD678,Education,95.95 ," 62,194 ",Nation-state,Zero-day,AI-based Detection,12
India,2018,DD678,Education,1.71 ," 63,389 ",Insider,Unpatched Software,VPN,20
France,2016,MIM65,Retail,14.86 ," 63,760 ",Hacker Group,Weak Passwords,VPN,8
France,2019,RWS34,Education,2.27 ," 63,872 ",Nation-state,Unpatched Software,Firewall,55
UK,2015,PH01,IT,24.17 ," 64,082 ",Unknown,Social Engineering,Antivirus,16
UK,2022,DD678,IT,53.91 ," 64,163 ",Unknown,Weak Passwords,AI-based Detection,7
Japan,2017,MIM65,Healthcare,11.30 ," 64,472 ",Insider,Social Engineering,Firewall,43
France,2017,DD678,Healthcare,5.07 ," 65,117 ",Unknown,Social Engineering,Firewall,3
UK,2021,RWS34,Banking,4.22 ," 65,148 ",Nation-state,Weak Passwords,VPN,15
China,2019,PH01,IT,5.05 ," 65,176 ",Unknown,Weak Passwords,Encryption,49
Japan,2022,DD678,IT,51.95 ," 65,516 ",Insider,Weak Passwords,Firewall,37
Japan,2018,SI657,Retail,51.58 ," 65,700 ",Hacker Group,Zero-day,Encryption,28
Brazil,2018,MIM65,Banking,1.01 ," 66,191 ",Hacker Group,Weak Passwords,AI-based Detection,71
Australia,2016,PH01,IT,55.18 ," 66,776 ",Unknown,Zero-day,Encryption,29
Brazil,2023,RWS34,Telecommunications,71.40 ," 66,852 ",Hacker Group,Weak Passwords,VPN,58
Russia,2022,PH01,Education,33.49 ," 68,371 ",Nation-state,Unpatched Software,Firewall,57
Germany,2023,PH01,Government,12.62 ," 68,551 ",Nation-state,Weak Passwords,Firewall,55
India,2018,ML345,Banking,20.76 ," 68,718 ",Insider,Social Engineering,Encryption,47
Japan,2021,MIM65,Healthcare,55.40 ," 68,886 ",Hacker Group,Weak Passwords,AI-based Detection,41
France,2020,ML345,Telecommunications,93.88 ," 69,492 ",Hacker Group,Social Engineering,Encryption,29
Australia,2017,PH01,Retail,14.88 ," 69,641 ",Hacker Group,Unpatched Software,Firewall,54
Australia,2021,ML345,Retail,22.48 ," 70,067 ",Insider,Weak Passwords,VPN,22
France,2021,MIM65,Banking,4.94 ," 71,156 ",Insider,Social Engineering,Encryption,34
Russia,2017,ML345,Healthcare,42.40 ," 71,213 ",Nation-state,Social Engineering,Firewall,58
Russia,2015,RWS34,Retail,84.08 ," 71,334 ",Unknown,Unpatched Software,AI-based Detection,26
Australia,2021,SI657,Telecommunications,22.51 ," 71,557 ",Insider,Social Engineering,Antivirus,47
Australia,2016,PH01,Telecommunications,63.81 ," 71,720 ",Hacker Group,Zero-day,Encryption,21
Brazil,2015,ML345,Retail,78.13 ," 71,743 ",Hacker Group,Unpatched Software,VPN,35
Russia,2016,PH01,Healthcare,11.29 ," 72,191 ",Unknown,Weak Passwords,Antivirus,3
France,2015,SI657,IT,43.86 ," 72,222 ",Unknown,Weak Passwords,Firewall,64
India,2015,PH01,Retail,49.51 ," 72,782 ",Unknown,Zero-day,Encryption,63
China,2024,MIM65,Banking,16.09 ," 72,940 ",Nation-state,Zero-day,VPN,26
Japan,2020,RWS34,Government,21.92 ," 74,407 ",Unknown,Unpatched Software,Antivirus,48
USA,2015,DD678,Education,66.04 ," 75,167 ",Insider,Unpatched Software,VPN,13
Australia,2015,RWS34,Telecommunications,17.38 ," 75,314 ",Unknown,Unpatched Software,Encryption,6
Germany,2019,RWS34,Government,58.60 ," 76,066 ",Insider,Unpatched Software,AI-based Detection,8
Japan,2020,RWS34,IT,25.30 ," 76,258 ",Unknown,Social Engineering,VPN,43
Australia,2019,DD678,IT,58.30 ," 76,358 ",Nation-state,Weak Passwords,Encryption,58
India,2018,PH01,Education,43.54 ," 76,479 ",Insider,Zero-day,Firewall,4
Japan,2022,PH01,Government,71.12 ," 76,776 ",Unknown,Unpatched Software,Firewall,42
France,2018,SI657,Banking,32.84 ," 77,096 ",Unknown,Weak Passwords,VPN,29
Australia,2021,RWS34,Banking,24.33 ," 77,845 ",Insider,Social Engineering,AI-based Detection,26
China,2016,DD678,Telecommunications,80.48 ," 78,123 ",Hacker Group,Social Engineering,Antivirus,50
Japan,2024,ML345,Government,34.03 ," 78,149 ",Nation-state,Weak Passwords,Encryption,30
India,2021,SI657,Government,18.26 ," 78,277 ",Hacker Group,Weak Passwords,Firewall,51
USA,2019,DD678,Government,81.56 ," 78,873 ",Hacker Group,Weak Passwords,Encryption,27
USA,2016,SI657,Healthcare,25.85 ," 79,102 ",Nation-state,Zero-day,AI-based Detection,4
India,2017,DD678,Education,83.49 ," 79,933 ",Hacker Group,Zero-day,AI-based Detection,23
UK,2024,ML345,Healthcare,33.21 ," 79,940 ",Unknown,Zero-day,Firewall,64
Russia,2021,MIM65,Retail,39.73 ," 80,069 ",Insider,Unpatched Software,VPN,8
Germany,2017,RWS34,Retail,91.67 ," 80,135 ",Hacker Group,Social Engineering,AI-based Detection,35
China,2020,PH01,Education,6.35 ," 80,748 ",Hacker Group,Zero-day,Encryption,8
Russia,2015,ML345,Healthcare,63.09 ," 80,855 ",Nation-state,Zero-day,AI-based Detection,53
USA,2018,RWS34,Healthcare,87.42 ," 80,926 ",Hacker Group,Unpatched Software,Antivirus,19
Japan,2021,DD678,Banking,74.26 ," 81,354 ",Insider,Weak Passwords,Firewall,6
China,2020,DD678,Banking,11.72 ," 81,518 ",Nation-state,Social Engineering,VPN,47
France,2022,ML345,IT,6.51 ," 82,276 ",Insider,Zero-day,Firewall,26
UK,2018,ML345,Banking,41.34 ," 82,287 ",Unknown,Unpatched Software,Encryption,61
UK,2023,RWS34,IT,86.23 ," 82,321 ",Unknown,Zero-day,Firewall,47
Russia,2024,DD678,Government,94.60 ," 82,500 ",Hacker Group,Zero-day,AI-based Detection,28
Russia,2020,DD678,Healthcare,6.37 ," 82,576 ",Nation-state,Weak Passwords,VPN,40
Brazil,2015,PH01,IT,16.44 ," 82,841 ",Insider,Social Engineering,Encryption,36
France,2020,ML345,Government,27.43 ," 82,853 ",Hacker Group,Social Engineering,Encryption,67
Russia,2024,RWS34,Healthcare,63.74 ," 83,374 ",Insider,Zero-day,VPN,45
China,2018,SI657,Government,1.89 ," 83,376 ",Insider,Unpatched Software,Firewall,62
China,2017,MIM65,Banking,47.52 ," 83,617 ",Insider,Unpatched Software,AI-based Detection,64
Russia,2024,SI657,Banking,79.98 ," 84,185 ",Nation-state,Weak Passwords,VPN,2
India,2020,PH01,Education,17.43 ," 84,643 ",Nation-state,Unpatched Software,Antivirus,53
India,2015,SI657,IT,42.99 ," 85,255 ",Unknown,Unpatched Software,Encryption,61
Japan,2023,PH01,Banking,75.13 ," 85,528 ",Hacker Group,Social Engineering,VPN,55
UK,2017,ML345,Education,29.47 ," 85,644 ",Hacker Group,Social Engineering,AI-based Detection,3
China,2016,MIM65,Banking,97.28 ," 86,038 ",Insider,Weak Passwords,Encryption,19
Brazil,2019,SI657,Healthcare,91.03 ," 86,583 ",Unknown,Social Engineering,Firewall,47
China,2019,DD678,Retail,7.87 ," 86,783 ",Nation-state,Weak Passwords,Antivirus,12
Brazil,2024,SI657,IT,33.94 ," 88,304 ",Nation-state,Zero-day,Encryption,41
Japan,2022,DD678,Retail,64.38 ," 88,354 ",Nation-state,Social Engineering,AI-based Detection,52
Germany,2023,ML345,Government,86.77 ," 88,821 ",Unknown,Zero-day,Antivirus,39
Germany,2024,MIM65,IT,84.19 ," 89,704 ",Hacker Group,Social Engineering,Antivirus,26
India,2016,RWS34,Retail,9.53 ," 89,719 ",Unknown,Zero-day,Firewall,68
Brazil,2021,PH01,Telecommunications,83.79 ," 90,156 ",Hacker Group,Unpatched Software,Antivirus,65
Russia,2018,ML345,Healthcare,40.66 ," 90,640 ",Unknown,Social Engineering,Encryption,56
France,2023,RWS34,Government,63.45 ," 90,678 ",Nation-state,Unpatched Software,Firewall,22
China,2015,SI657,Education,40.68 ," 90,689 ",Nation-state,Weak Passwords,Antivirus,40
Russia,2016,SI657,Healthcare,46.95 ," 90,895 ",Unknown,Social Engineering,VPN,29
Russia,2016,ML345,Government,66.19 ," 91,194 ",Hacker Group,Unpatched Software,Encryption,72
Australia,2020,RWS34,Retail,71.03 ," 91,228 ",Hacker Group,Social Engineering,Antivirus,22
